Source.Name,Constituency,Const No,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Seats,Status
andhrapradesh-1.csv,Achanta,56,SATYANARAYANA PITHANI,Telugu Desam,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,26554,14/14,Result Declared
andhrapradesh-1.csv,Addanki,105,GOTTIPATI RAVI KUMAR,Telugu Desam,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,24890,22/22,Result Declared
andhrapradesh-1.csv,Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,18164,19/19,Result Declared
andhrapradesh-1.csv,Allagadda,134,AKHILA PRIYA BHUMA,Telugu Desam,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,12037,22/22,Result Declared
andhrapradesh-1.csv,Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,B. VEERABHADRA GOWD,Telugu Desam,2831,21/21,Result Declared
andhrapradesh-1.csv,Amadalavalasa,6,KOONA RAVI KUMAR,Telugu Desam,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,35032,19/19,Result Declared
andhrapradesh-1.csv,Amalapuram ,44,AITHABATHULA ANANDARAO,Telugu Desam,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,38628,17/17,Result Declared
andhrapradesh-1.csv,Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena Party,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,65764,19/19,Result Declared
andhrapradesh-1.csv,Anantapur Urban,153,DAGGUPATI PRASAD,Telugu Desam,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,23023,21/21,Result Declared
andhrapradesh-1.csv,Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,20850,17/17,Result Declared
andhrapradesh-1.csv,Araku Valley ,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,RAJARAO PANGI,Bharatiya Janata Party,31877,23/23,Result Declared
andhrapradesh-1.csv,Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu Desam,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,7576,22/22,Result Declared
andhrapradesh-1.csv,Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena Party,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,46434,21/21,Result Declared
andhrapradesh-1.csv,Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,BOJJA ROSHANNA,Bharatiya Janata Party,18567,20/20,Result Declared
andhrapradesh-1.csv,Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu Desam,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,25566,24/24,Result Declared
andhrapradesh-1.csv,Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,27768,15/15,Result Declared
andhrapradesh-1.csv,Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,66974,17/17,Result Declared
